10
[2178, 3, 3, 212.831, 1489187.115, 'ok', 'up', 7]
[2178, 3, 3, 1489187.115, 2084.082, 'up', 'ok', 8]
[2178, 3, 3, 2084.082, 1099615.763, 'ok', 'up', 9]
[2178, 3, 19, 1099615.763, 0.003, 'up', 'ok', 10]
[2199, 3, 3, 444.11, 293965.702, 'ok', 'up', 8]
[2199, 3, 3, 293965.702, 10.2, 'up', 'ok', 9]
[2220, 3, 3, 234.926, 1860392.053, 'ok', 'up', 42]
[2220, 3, 19, 1860392.053, 0.002, 'up', 'ok', 43]
[2236, 20, 2, 135217.928, 1998.222, 'ok', 'up', 3]
[2236, 2, 3, 1998.222, 0.055, 'up', 'ok', 4]
[2243, 20, 20, 39.93, 101287.58, 'ok', 'up', 2]
[2243, 20, 18, 101287.58, 332.043, 'up', 'ok', 3]
[2247, 3, 3, 626.503, 2077366.734, 'ok', 'up', 8]
[2247, 3, 3, 2077366.734, 60.517, 'up', 'ok', 9]
[2258, 3, 3, 89.596, 1862353.996, 'ok', 'up', 37]
[2258, 3, 19, 1862353.996, 0.004, 'up', 'ok', 38]
[2304, 3, 3, 567.832, 766762.398, 'ok', 'up', 5]
[2304, 3, 3, 766762.398, 67975.113, 'up', 'ok', 6]
[2304, 3, 3, 67975.113, 1173318.75, 'ok', 'up', 7]
[2304, 3, 3, 1173318.75, 15.644, 'up', 'ok', 8]
[2304, 3, 3, 15.644, 651867.359, 'ok', 'up', 9]
[2304, 3, 19, 651867.359, 0.008, 'up', 'ok', 10]
[2375, 9, 9, 22.815, 1640060.514, 'ok', 'up', 22]
[2375, 9, 9, 1640060.514, 25.361, 'up', 'ok', 23]
[2395, 20, 2, 23812.466, 4163.343, 'ok', 'up', 3]
[2395, 2, 3, 4163.343, 0.054, 'up', 'ok', 4]
[2447, 3, 3, 182.419, 2272651.479, 'ok', 'up', 23]
[2447, 3, 3, 2272651.479, 19.635, 'up', 'ok', 24]
[2497, 9, 9, 9.105, 2671714.378, 'ok', 'up', 18]
[2497, 9, 19, 2671714.378, 0.015, 'up', 'ok', 19]
[2531, 9, 9, 238.067, 1574637.201, 'ok', 'up', 26]
[2531, 9, 9, 1574637.201, 6.659, 'up', 'ok', 27]
[2534, 3, 3, 147.052, 1473856.59, 'ok', 'up', 40]
[2534, 3, 18, 1473856.59, 133.419, 'up', 'ok', 41]
[2538, 3, 3, 125.937, 1946909.574, 'ok', 'up', 27]
[2538, 3, 19, 1946909.574, 0.015, 'up', 'ok', 28]
[2542, 11, 11, 1171.322, 849273.92, 'ok', 'up', 39]
[2542, 11, 11, 849273.92, 179.394, 'up', 'ok', 40]
[2552, 3, 3, 58351.272, 1061895.463, 'ok', 'up', 18]
[2552, 3, 3, 1061895.463, 160.327, 'up', 'ok', 19]
[2562, 3, 3, 173.331, 1283393.184, 'ok', 'up', 41]
[2562, 3, 3, 1283393.184, 7.823, 'up', 'ok', 42]
[2574, 3, 3, 77.196, 1383851.715, 'ok', 'up', 9]
[2574, 3, 3, 1383851.715, 8.769, 'up', 'ok', 10]
[2580, 9, 9, 116.664, 1948455.17, 'ok', 'up', 15]
[2580, 9, 16, 1948455.17, 0.009, 'up', 'ok', 16]
[2601, 3, 3, 211.546, 1044425.057, 'ok', 'up', 32]
[2601, 3, 3, 1044425.057, 224.409, 'up', 'ok', 33]
[2601, 3, 3, 224.409, 683202.609, 'ok', 'up', 34]
[2601, 3, 3, 683202.609, 97.802, 'up', 'ok', 35]
[2636, 9, 9, 138.941, 1477882.147, 'ok', 'up', 13]
[2636, 9, 9, 1477882.147, 33.507, 'up', 'ok', 14]
[2640, 3, 3, 137.214, 1986706.4, 'ok', 'up', 24]
[2640, 3, 19, 1986706.4, 0.051, 'up', 'ok', 25]
[2661, 3, 3, 169.654, 1431015.921, 'ok', 'up', 32]
[2661, 3, 19, 1431015.921, 0.008, 'up', 'ok', 33]
[2677, 4, 6, 108.285, 2443.021, 'ok', 'up', 9]
[2677, 6, 5, 2443.021, 0.0, 'up', 'ok', 10]
[2682, 9, 19, 150.683, 1517376.328, 'ok', 'up', 83]
[2682, 19, 16, 1517376.328, 0.0, 'up', 'ok', 84]
[2725, 4, 5, 304.814, 3126.83, 'ok', 'up', 9]
[2725, 5, 6, 3126.83, 0.0, 'up', 'ok', 10]
[2748, 22, 22, 95.909, 547649.866, 'ok', 'up', 80]
[2748, 22, 22, 547649.866, 7.9, 'up', 'ok', 81]
[2748, 22, 22, 10.335, 869025.139, 'ok', 'up', 92]
[2748, 22, 22, 869025.139, 253.223, 'up', 'ok', 93]
[2769, 3, 3, 79.627, 2139466.88, 'ok', 'up', 12]
[2769, 3, 19, 2139466.88, 0.003, 'up', 'ok', 13]
[2790, 3, 3, 145.875, 1603976.235, 'ok', 'up', 28]
[2790, 3, 19, 1603976.235, 0.006, 'up', 'ok', 29]
[2825, 3, 3, 101.173, 2238422.348, 'ok', 'up', 15]
[2825, 3, 3, 2238422.348, 14.001, 'up', 'ok', 16]
[2830, 3, 3, 220.675, 1465632.669, 'ok', 'up', 21]
[2830, 3, 3, 1465632.669, 284.06, 'up', 'ok', 22]
[2838, 3, 3, 609.128, 1457994.538, 'ok', 'up', 30]
[2838, 3, 3, 1457994.538, 10507.429, 'up', 'ok', 31]
[2860, 3, 3, 184.184, 879083.093, 'ok', 'up', 11]
[2860, 3, 3, 879083.093, 16.897, 'up', 'ok', 12]
[2860, 3, 3, 16.897, 1106986.549, 'ok', 'up', 13]
[2860, 3, 19, 1106986.549, 0.005, 'up', 'ok', 14]
[2863, 3, 3, 507.346, 2149164.796, 'ok', 'up', 9]
[2863, 3, 3, 2149164.796, 3526.21, 'up', 'ok', 10]
[2877, 3, 3, 192.434, 1797563.478, 'ok', 'up', 26]
[2877, 3, 3, 1797563.478, 411.776, 'up', 'ok', 27]
[2878, 0, 1, 0.072, 3.652, 'up', 'ok', 0]
[2886, 3, 3, 134.832, 1635447.833, 'ok', 'up', 27]
[2886, 3, 19, 1635447.833, 0.005, 'up', 'ok', 28]
[2919, 3, 3, 70.988, 1789237.413, 'ok', 'up', 23]
[2919, 3, 3, 1789237.413, 53.165, 'up', 'ok', 24]
[2927, 9, 9, 452.223, 1662766.631, 'ok', 'up', 29]
[2927, 9, 9, 1662766.631, 180.797, 'up', 'ok', 30]
[2931, 3, 3, 376.33, 2075723.888, 'ok', 'up', 21]
[2931, 3, 3, 2075723.888, 14.634, 'up', 'ok', 22]
[2934, 9, 9, 115.061, 1488570.112, 'ok', 'up', 15]
[2934, 9, 9, 1488570.112, 1210.612, 'up', 'ok', 16]
[2950, 9, 9, 201.495, 1635535.836, 'ok', 'up', 33]
[2950, 9, 9, 1635535.836, 68.269, 'up', 'ok', 34]
[2962, 3, 3, 96.73, 2159181.281, 'ok', 'up', 19]
[2962, 3, 3, 2159181.281, 245.671, 'up', 'ok', 20]
[2976, 0, 1, 0.0, 13.624, 'ok', 'up', 0]
[2976, 1, 2, 13.624, 41.895, 'up', 'ok', 1]
[3051, 11, 15, 353219.046, 2292.01, 'ok', 'up', 40]
[3051, 15, 13, 2292.01, 0.0, 'up', 'ok', 41]
[3053, 3, 3, 126.673, 2063764.338, 'ok', 'up', 19]
[3053, 3, 3, 2063764.338, 2468.288, 'up', 'ok', 20]
[3071, 11, 11, 18.707, 775051.227, 'ok', 'up', 25]
[3071, 11, 11, 775051.227, 31.578, 'up', 'ok', 26]
[3127, 0, 1, 0.05, 0.423, 'up', 'ok', 0]
[3172, 3, 3, 176.645, 1729134.928, 'ok', 'up', 21]
[3172, 3, 3, 1729134.928, 16.228, 'up', 'ok', 22]
[3226, 11, 14, 352485.43, 3520.415, 'ok', 'up', 29]
[3226, 14, 15, 3520.415, 0.001, 'up', 'ok', 30]
[3233, 3, 3, 81.415, 1037619.186, 'ok', 'up', 29]
